Date,Time,Transaction Number,Item 1,Item 2,Item 3
10/30/2016,13:14:04,38,Coffee,Cake,Brownie
10/30/2016,13:14:04,39,Juice,Cookies,Mineral water
10/30/2016,13:14:04,40,Coffee,Juice,Cookies
10/30/2016,13:15:38,41,Coffee,Juice,CaramelBites
10/30/2016,13:24:00,42,Coffee,Mineral water,Tea
10/30/2016,13:24:00,43,Coffee,Mineral water,CaramelBites
10/30/2016,13:33:12,44,Coffee,Tea,Juice
10/30/2016,13:34:07,45,Cake,Mineral water,Hot chocolate
10/30/2016,13:37:25,46,Tea,Cake,Mineral water
10/30/2016,13:37:25,47,Coffee,Coffee,Hot chocolate
10/30/2016,13:40:20,48,Mineral water,Coffee,Coffee
10/30/2016,13:46:48,49,Mineral water,Juice,Juice
10/30/2016,13:49:36,50,Coffee,Mineral water,Juice
10/30/2016,13:49:36,51,Tea,Coffee,CaramelBites
10/30/2016,13:51:49,52,Tea,Coffee,Brownie
10/30/2016,14:21:38,53,Coffee,Chocolates,Hot chocolate
10/30/2016,14:24:03,54,Coffee,Chocolates,Cookies
10/30/2016,14:32:49,55,Coffee,Brownie,Juice
10/30/2016,14:45:44,56,Tea,Tea,Mineral water
10/30/2016,14:45:44,57,Coffee,Cookies,Brownie
10/30/2016,14:48:40,58,Coffee,CaramelBites,Chocolates
10/31/2016,8:28:31,59,Coffee,Tea,Juice
10/31/2016,8:28:31,60,Cake,Juice,Coffee
10/31/2016,8:57:47,61,Coffee,Brownie,Cake
10/31/2016,9:10:09,62,Coffee,Hot chocolate,Mineral water
10/31/2016,9:10:09,63,Coffee,Juice,Brownie
10/31/2016,9:11:08,64,Juice,Cake,Cookies
10/31/2016,9:16:01,65,Coffee,Chocolates,Mineral water
10/31/2016,9:16:01,66,Coffee,Mineral water,Coffee
10/31/2016,9:20:12,67,Coffee,Cake,Cake
10/31/2016,9:22:48,68,Tea,CaramelBites,Mineral water
10/31/2016,9:27:11,69,Coffee,Brownie,Cookies
10/31/2016,9:39:09,70,Coffee,Cookies,CaramelBites
10/31/2016,9:39:09,71,Coffee,CaramelBites,Cookies
10/31/2016,9:43:37,72,Tea,Juice,Tea
10/31/2016,9:46:48,73,Coffee,Coffee,Cake
10/31/2016,9:46:48,74,Juice,Cookies,Chocolates
10/31/2016,9:51:11,75,Coffee,Hot chocolate,Chocolates
10/31/2016,9:51:11,76,Juice,Hot chocolate,Cake
10/31/2016,9:56:37,77,Coffee,Tea,Cookies
10/31/2016,10:04:02,78,Coffee,Brownie,Tea
10/31/2016,10:12:48,79,Coffee,Juice,Chocolates
10/31/2016,10:12:48,80,Coffee,Tea,CaramelBites
10/31/2016,10:12:48,81,Coffee,CaramelBites,Tea
10/31/2016,10:21:29,82,Coffee,Juice,CaramelBites
10/31/2016,10:21:29,83,Tea,Hot chocolate,Hot chocolate
10/31/2016,10:21:29,84,Cake,Brownie,Cookies
10/31/2016,10:24:21,85,Coffee,Cake,Juice
10/31/2016,10:24:21,86,Coffee,Mineral water,Cake
10/31/2016,10:27:30,87,Coffee,Mineral water,Coffee
10/31/2016,10:27:30,88,Tea,Coffee,Juice
10/31/2016,10:38:09,89,Coffee,Coffee,Coffee
10/31/2016,10:59:17,90,Coffee,Cookies,Mineral water
10/31/2016,11:02:37,91,Coffee,Cake,Tea
10/31/2016,11:02:37,92,Cake,CaramelBites,Chocolates
10/31/2016,11:11:01,93,Coffee,CaramelBites,Cookies
10/31/2016,11:13:08,94,Cookies,CaramelBites,Coffee
10/31/2016,11:13:08,95,Cake,Coffee,Brownie
10/31/2016,11:13:08,96,Coffee,Cake,Brownie
10/31/2016,11:18:29,97,Cookies,Juice,Cake
10/31/2016,11:18:29,98,Cookies,Cookies,Tea
10/31/2016,11:18:29,99,Tea,Tea,Cake
10/31/2016,11:25:56,100,Coffee,Cake,CaramelBites
10/31/2016,11:25:56,101,Coffee,Hot chocolate,Coffee
10/31/2016,11:30:59,102,Coffee,Mineral water,Tea
10/31/2016,11:37:30,103,Cookies,Mineral water,Chocolates
10/31/2016,11:42:05,104,Coffee,CaramelBites,Cake
10/31/2016,11:42:05,105,Coffee,Coffee,Mineral water
10/31/2016,11:42:05,106,Juice,Juice,Hot chocolate
10/31/2016,11:43:10,107,Coffee,Hot chocolate,Chocolates
10/31/2016,11:47:18,108,Tea,CaramelBites,Tea
10/31/2016,11:52:43,109,Coffee,Cake,Chocolates
10/31/2016,11:55:00,110,Coffee,Tea,Mineral water
10/31/2016,11:55:00,111,Tea,Tea,Cookies
10/31/2016,11:59:23,112,Coffee,Juice,Brownie
10/31/2016,11:59:23,113,Coffee,Brownie,Tea
10/31/2016,11:59:23,114,Cake,Tea,Mineral water
10/31/2016,12:03:12,115,Coffee,Tea,Brownie
10/31/2016,12:03:12,116,Coffee,Brownie,Mineral water
10/31/2016,12:08:28,117,Coffee,Cookies,Cake
10/31/2016,12:14:20,118,Tea,Brownie,CaramelBites
10/31/2016,12:14:20,119,Juice,Tea,Cake
10/31/2016,12:14:20,120,Cookies,Cake,Cookies
10/31/2016,12:19:37,121,Tea,Hot chocolate,Tea
10/31/2016,12:27:41,122,Tea,Mineral water,Brownie
10/31/2016,12:43:35,123,Coffee,Brownie,Cake
10/31/2016,12:53:33,124,Coffee,Mineral water,CaramelBites
10/31/2016,12:53:33,125,Coffee,Cookies,Cake
10/31/2016,12:53:33,126,Cookies,Chocolates,Hot chocolate
10/31/2016,12:56:47,127,Tea,Coffee,Cake
10/31/2016,12:59:08,128,Tea,Hot chocolate,Hot chocolate
10/31/2016,13:05:49,129,Coffee,Mineral water,Chocolates
10/31/2016,13:05:49,130,Tea,Juice,Chocolates
10/31/2016,13:09:31,131,Coffee,CaramelBites,Mineral water
10/31/2016,13:21:17,132,Coffee,CaramelBites,Coffee
10/31/2016,13:21:17,133,Coffee,Cake,Chocolates
10/31/2016,13:26:03,134,Coffee,Coffee,Hot chocolate
10/31/2016,13:55:22,135,Tea,Juice,Cake
10/31/2016,13:55:22,136,Coffee,Cake,Cookies
10/31/2016,13:55:22,137,Cookies,Chocolates,CaramelBites
10/31/2016,14:00:21,138,Coffee,Chocolates,Chocolates
10/31/2016,14:01:30,139,Tea,Hot chocolate,Mineral water
10/31/2016,14:04:16,140,Coffee,Hot chocolate,Mineral water
10/31/2016,14:05:07,141,Coffee,Tea,Juice
10/31/2016,14:20:29,142,Coffee,Mineral water,Chocolates
10/31/2016,14:22:31,143,Hot chocolate,Hot chocolate,Tea
10/31/2016,14:22:31,144,Cookies,Chocolates,Tea
10/31/2016,14:35:27,145,Mineral water,Cake,Hot chocolate
10/31/2016,14:42:34,146,Tea,CaramelBites,Brownie
10/31/2016,14:47:16,147,Coffee,Chocolates,Cookies
10/31/2016,14:47:16,148,Juice,Hot chocolate,Brownie
10/31/2016,14:47:36,149,Coffee,Mineral water,Chocolates
10/31/2016,14:48:49,150,Tea,Tea,Mineral water
10/31/2016,14:49:28,151,Coffee,Mineral water,Tea
10/31/2016,14:50:42,152,Mineral water,Chocolates,Hot chocolate
10/31/2016,14:56:25,153,Tea,Juice,Coffee
10/31/2016,14:56:25,154,Coffee,Chocolates,CaramelBites
10/31/2016,15:05:17,155,Mineral water,Chocolates,Brownie
10/31/2016,15:16:49,156,Coffee,Cookies,Chocolates
10/31/2016,15:20:16,157,Tea,Tea,Mineral water
10/31/2016,17:06:47,158,Coffee,Mineral water,Brownie
10/31/2016,17:40:21,159,Coffee,Mineral water,Mineral water
10/31/2016,18:22:24,160,Cookies,Hot chocolate,Cookies
10/31/2016,18:22:24,161,Coffee,Hot chocolate,Juice
11/1/2016,7:51:20,162,Coffee,Juice,Juice
11/1/2016,8:20:50,163,Coffee,Cookies,Cake
11/1/2016,8:22:28,164,Tea,CaramelBites,Chocolates
11/1/2016,8:45:20,165,Tea,Tea,Chocolates
11/1/2016,8:45:20,166,Tea,CaramelBites,Brownie
11/1/2016,9:26:03,167,Tea,Cake,Hot chocolate
11/1/2016,9:29:25,168,Tea,Brownie,Coffee
11/1/2016,9:43:13,169,Tea,Juice,Juice
11/1/2016,10:04:05,170,Coffee,Hot chocolate,Cookies
11/1/2016,10:29:02,171,Coffee,Coffee,Hot chocolate
11/1/2016,10:34:53,172,Coffee,Tea,Juice
11/1/2016,10:50:50,173,Tea,Coffee,Hot chocolate
11/1/2016,11:00:48,174,Coffee,Hot chocolate,Chocolates
11/1/2016,11:08:18,175,Cake,Coffee,Mineral water
11/1/2016,11:08:18,176,Cookies,Tea,Coffee
11/1/2016,11:10:11,177,Coffee,Juice,Coffee
11/1/2016,11:10:11,178,Coffee,Mineral water,Mineral water
11/1/2016,11:10:11,179,Tea,Coffee,Mineral water
11/1/2016,11:11:58,180,Coffee,Coffee,CaramelBites
11/1/2016,11:11:58,181,Cookies,Cake,CaramelBites
11/1/2016,11:13:20,182,Coffee,Juice,Cookies
11/1/2016,11:22:36,183,Coffee,Brownie,Hot chocolate
11/1/2016,11:23:19,184,Coffee,Mineral water,Coffee
11/1/2016,11:23:19,185,Coffee,Tea,Mineral water
11/1/2016,11:25:53,186,Coffee,Brownie,Hot chocolate
11/1/2016,11:49:31,187,Coffee,Juice,Tea
11/1/2016,11:49:31,188,Coffee,Mineral water,Brownie
11/1/2016,11:54:17,189,Coffee,CaramelBites,Juice
11/1/2016,12:03:37,190,Coffee,CaramelBites,Cookies
11/1/2016,12:10:38,191,Coffee,Mineral water,Tea
11/1/2016,12:15:36,192,Coffee,Tea,Mineral water
11/1/2016,12:20:30,193,Coffee,Mineral water,Tea
11/1/2016,12:20:30,194,Cookies,Mineral water,Chocolates
11/1/2016,12:26:43,195,Tea,Cake,Cake
11/1/2016,12:26:43,196,Tea,Juice,Juice
11/1/2016,12:30:30,197,Coffee,Chocolates,Coffee
11/1/2016,12:31:30,198,Coffee,Hot chocolate,Cookies
11/1/2016,12:33:31,199,Cookies,Mineral water,Coffee
11/1/2016,13:11:34,200,Coffee,CaramelBites,Cake
11/1/2016,13:15:08,201,Coffee,CaramelBites,Mineral water
11/1/2016,13:19:00,202,Coffee,Mineral water,CaramelBites
11/1/2016,13:21:52,203,Cake,Cookies,Cookies
11/1/2016,13:31:35,204,Tea,Coffee,Hot chocolate
11/1/2016,13:33:54,205,Coffee,Cookies,Tea
11/1/2016,13:45:21,206,Cake,Brownie,Tea
11/1/2016,14:10:03,207,Tea,Mineral water,Chocolates
11/1/2016,14:10:03,208,Tea,Hot chocolate,Hot chocolate
11/1/2016,14:13:26,209,Coffee,Cookies,Coffee
11/1/2016,14:13:26,210,Tea,Hot chocolate,CaramelBites
11/1/2016,14:14:01,211,Coffee,Hot chocolate,Cookies
11/1/2016,14:14:01,212,Coffee,Mineral water,Juice
11/1/2016,14:25:14,213,Coffee,Cookies,CaramelBites
11/1/2016,14:37:16,214,Tea,Cake,Hot chocolate
11/1/2016,14:37:16,215,Cookies,Mineral water,Cake
11/1/2016,14:54:33,216,Tea,Tea,Juice
11/1/2016,15:02:23,217,Juice,CaramelBites,Juice
11/1/2016,15:02:23,218,Tea,Juice,Coffee
11/1/2016,15:18:43,219,Cake,Cookies,Coffee
11/1/2016,15:18:43,220,Coffee,Juice,Juice
11/1/2016,15:33:18,221,Hot chocolate,Coffee,Chocolates
11/1/2016,15:33:18,222,Cake,Chocolates,CaramelBites
11/1/2016,15:33:18,223,Coffee,Hot chocolate,Cookies
11/1/2016,15:37:30,224,Cake,CaramelBites,Brownie
11/1/2016,15:37:30,225,Cookies,Brownie,Juice
11/1/2016,15:48:44,226,Tea,Cake,Juice
11/1/2016,16:07:11,227,Coffee,Brownie,Brownie
11/1/2016,16:07:11,228,Coffee,Mineral water,Hot chocolate
11/1/2016,16:07:11,229,Coffee,Juice,Juice
11/1/2016,16:07:11,230,Juice,Cake,Chocolates
11/1/2016,16:08:22,231,Coffee,Mineral water,Chocolates
11/1/2016,16:08:22,232,Tea,Brownie,Tea
11/1/2016,16:10:03,233,Hot chocolate,Hot chocolate,Chocolates
11/1/2016,16:10:42,234,Cookies,CaramelBites,CaramelBites
11/1/2016,16:26:55,235,Coffee,Chocolates,Juice
11/2/2016,8:02:20,236,Coffee,Cookies,Brownie
11/2/2016,8:02:20,237,Coffee,Chocolates,Coffee
11/2/2016,8:05:03,238,Coffee,Brownie,Cookies
11/2/2016,8:07:05,239,Coffee,Cake,CaramelBites
11/2/2016,8:08:45,240,Coffee,Chocolates,Mineral water
11/2/2016,8:12:03,241,Coffee,Coffee,Cake
11/2/2016,8:12:51,242,Coffee,Tea,CaramelBites
11/2/2016,8:29:04,243,Coffee,CaramelBites,CaramelBites
11/2/2016,8:29:04,244,Hot chocolate,CaramelBites,CaramelBites
11/2/2016,9:02:24,245,Coffee,CaramelBites,Cookies
11/2/2016,9:03:13,246,Tea,Hot chocolate,Chocolates
11/2/2016,9:18:53,247,Coffee,Cake,Coffee
11/2/2016,9:22:47,248,Tea,Mineral water,Juice
11/2/2016,9:27:58,249,Coffee,Coffee,Chocolates
11/2/2016,9:33:47,250,Coffee,CaramelBites,Hot chocolate
11/2/2016,9:33:47,251,Tea,Cookies,Coffee
11/2/2016,9:33:47,252,Coffee,Hot chocolate,Coffee
11/2/2016,9:52:58,253,Coffee,Tea,CaramelBites
11/2/2016,9:54:47,254,Coffee,Chocolates,CaramelBites
11/2/2016,9:54:47,255,Coffee,Chocolates,Tea
11/2/2016,10:13:27,256,Coffee,Mineral water,Cake
11/2/2016,10:15:48,257,Coffee,Mineral water,Brownie
11/2/2016,10:17:22,258,Coffee,CaramelBites,Cake
11/2/2016,10:37:45,259,Coffee,Tea,Chocolates
11/2/2016,10:44:50,260,Coffee,Cookies,Juice
11/2/2016,10:48:08,261,Coffee,Cake,Tea
11/2/2016,10:53:48,262,Juice,CaramelBites,Cookies
11/2/2016,10:56:40,263,Coffee,Brownie,Chocolates
11/2/2016,11:03:49,264,Coffee,Cookies,Mineral water
11/2/2016,11:03:49,265,Cookies,Tea,Coffee
11/2/2016,11:04:47,266,Coffee,Chocolates,Tea
11/2/2016,11:15:13,267,Cookies,CaramelBites,Coffee
11/2/2016,11:35:36,268,Coffee,Mineral water,Coffee
11/2/2016,12:06:51,269,Coffee,Cookies,Brownie
11/2/2016,12:11:56,270,Coffee,Brownie,CaramelBites
11/2/2016,12:18:15,271,Coffee,Coffee,Brownie
11/2/2016,12:18:15,272,Coffee,Brownie,CaramelBites
11/2/2016,12:24:06,273,Juice,Cake,Cookies
11/2/2016,12:24:06,274,Mineral water,Cake,Cookies
11/2/2016,12:27:31,275,Tea,Brownie,Mineral water
11/2/2016,12:30:42,276,Juice,Coffee,Hot chocolate
11/2/2016,12:30:42,277,Tea,Mineral water,Chocolates
11/2/2016,12:30:42,278,Cookies,CaramelBites,Hot chocolate
11/2/2016,12:33:51,279,Tea,Tea,Brownie
11/2/2016,12:39:02,280,Coffee,Chocolates,Chocolates
11/2/2016,12:39:02,281,Mineral water,Hot chocolate,Brownie
11/2/2016,12:39:02,282,Juice,CaramelBites,Coffee
11/2/2016,12:56:40,283,Tea,CaramelBites,Cookies
11/2/2016,13:02:57,284,Coffee,Chocolates,Tea
11/2/2016,13:09:40,285,Cookies,Juice,Juice
11/2/2016,13:11:57,286,Tea,Juice,Hot chocolate
11/2/2016,13:11:57,287,Juice,Juice,Hot chocolate
11/2/2016,13:16:48,288,Coffee,Chocolates,Coffee
11/2/2016,13:42:15,289,Cookies,Mineral water,Chocolates
11/2/2016,13:42:15,290,Tea,Cake,Tea
11/2/2016,13:50:59,291,Coffee,Brownie,Brownie
11/2/2016,13:58:39,292,Coffee,Chocolates,Juice
11/2/2016,14:00:37,293,Coffee,Cookies,Juice
11/2/2016,14:00:37,294,Tea,CaramelBites,CaramelBites
11/2/2016,14:05:20,295,Tea,Brownie,CaramelBites
11/2/2016,14:11:14,296,Coffee,Cookies,Tea
11/2/2016,14:11:14,297,Tea,Chocolates,Juice
11/2/2016,14:11:50,298,Coffee,Coffee,Hot chocolate
11/2/2016,15:03:25,299,Tea,Mineral water,Coffee
11/2/2016,15:25:57,300,Tea,CaramelBites,Mineral water
11/2/2016,15:33:54,301,Juice,Juice,Mineral water
11/2/2016,16:25:49,302,Coffee,Cake,Cookies
11/2/2016,16:54:35,303,Juice,Coffee,Coffee
11/2/2016,16:54:35,304,Cookies,Chocolates,Mineral water
11/2/2016,16:54:35,305,Mineral water,Hot chocolate,Tea
11/2/2016,17:01:56,306,Coffee,Mineral water,Mineral water
11/2/2016,18:08:40,307,Juice,Hot chocolate,Coffee
11/2/2016,18:13:04,308,Coffee,CaramelBites,Tea
11/2/2016,18:13:04,309,Mineral water,Cake,CaramelBites
11/2/2016,18:19:43,310,Coffee,Chocolates,Hot chocolate
11/3/2016,7:46:50,311,Coffee,Chocolates,Brownie
11/3/2016,8:08:26,312,Coffee,Mineral water,Juice
11/3/2016,8:15:21,313,Coffee,Brownie,Chocolates
11/3/2016,8:15:21,314,Coffee,Coffee,Hot chocolate
11/3/2016,8:15:21,315,Coffee,Brownie,Cookies
11/3/2016,8:49:23,316,Tea,Cookies,Chocolates
11/3/2016,9:00:24,317,Coffee,Mineral water,Coffee
11/3/2016,9:31:19,318,Coffee,Brownie,CaramelBites
11/3/2016,9:44:36,319,Coffee,Mineral water,CaramelBites
11/3/2016,9:44:36,320,Tea,Juice,Hot chocolate
11/3/2016,9:59:18,321,Coffee,Mineral water,Chocolates
11/3/2016,10:01:12,322,Tea,Brownie,Mineral water
11/3/2016,10:27:05,323,Tea,Cookies,Cookies
11/3/2016,10:39:12,324,Coffee,Chocolates,Tea
11/3/2016,10:39:12,325,Brownie,Hot chocolate,Cookies
11/3/2016,10:48:46,326,Cookies,Cookies,Mineral water
11/3/2016,11:03:49,327,Coffee,Hot chocolate,CaramelBites
11/3/2016,11:15:14,328,Coffee,Coffee,CaramelBites
11/3/2016,11:15:14,329,Coffee,Juice,Hot chocolate
11/3/2016,11:20:31,330,Coffee,Chocolates,Coffee
11/3/2016,11:51:52,331,Tea,Coffee,Cake
11/3/2016,11:51:52,332,Coffee,Hot chocolate,Mineral water
11/3/2016,11:53:09,333,Cookies,Cookies,Mineral water
11/3/2016,12:01:18,334,Coffee,Coffee,Coffee
11/3/2016,12:01:18,335,Coffee,Mineral water,Coffee
11/3/2016,12:02:49,336,Coffee,Coffee,Coffee
11/3/2016,12:05:25,337,Coffee,Cake,Tea
11/3/2016,12:05:25,338,Brownie,CaramelBites,Cake
11/3/2016,12:07:24,339,Brownie,Coffee,Tea
11/3/2016,12:07:24,340,Cookies,Cake,Cookies
11/3/2016,12:12:03,341,Coffee,CaramelBites,Cookies
11/3/2016,12:16:15,342,Coffee,Coffee,Mineral water
11/3/2016,12:23:47,343,Coffee,Cookies,Juice
11/3/2016,12:37:58,344,Coffee,Hot chocolate,Mineral water
11/3/2016,12:37:58,345,Hot chocolate,Hot chocolate,Hot chocolate
11/3/2016,12:47:09,346,Tea,Cookies,Cake
11/3/2016,13:02:37,347,Coffee,Brownie,Cookies
11/3/2016,13:02:37,348,Brownie,Coffee,Brownie
11/3/2016,13:19:57,349,Brownie,Tea,Tea
11/3/2016,13:30:57,350,Cake,Chocolates,Chocolates
11/3/2016,13:35:48,351,Mineral water,Juice,Tea
11/3/2016,13:41:42,352,Coffee,Tea,CaramelBites
11/3/2016,13:41:42,353,Coffee,Cookies,Brownie
11/3/2016,14:00:26,354,Coffee,Cookies,Cookies
11/3/2016,14:03:07,355,Tea,Cake,Juice
11/3/2016,14:03:07,356,Cake,Coffee,Chocolates
11/3/2016,14:09:44,357,Coffee,Coffee,Cake
11/3/2016,14:16:50,358,Hot chocolate,Hot chocolate,Chocolates
11/3/2016,14:16:50,359,Coffee,Chocolates,Juice
11/3/2016,14:26:27,360,Brownie,Juice,Hot chocolate
11/3/2016,14:26:27,361,Cake,Coffee,Brownie
11/3/2016,14:48:35,362,Cake,Brownie,Hot chocolate
11/3/2016,14:51:45,363,Cake,Brownie,Brownie
11/3/2016,14:51:45,364,Coffee,Chocolates,Brownie
11/3/2016,15:06:48,365,Coffee,Coffee,Coffee
11/3/2016,15:19:41,366,Coffee,Mineral water,Brownie
11/3/2016,15:27:03,367,Tea,Juice,Brownie
11/3/2016,15:27:03,368,Coffee,Cake,Mineral water
11/3/2016,15:42:41,369,Coffee,Tea,Tea
11/3/2016,15:55:46,370,Coffee,Cookies,Juice
11/3/2016,15:55:46,371,Juice,Cake,Coffee
11/3/2016,15:55:46,372,Brownie,Cake,Chocolates
11/3/2016,16:06:19,373,Brownie,Tea,Chocolates
11/3/2016,16:06:19,374,Cookies,Juice,CaramelBites
11/3/2016,16:06:19,375,Juice,Cake,Cake
11/3/2016,16:10:01,376,Cake,Juice,Chocolates
11/3/2016,16:10:01,377,Cookies,Mineral water,Tea
11/3/2016,16:28:32,378,Coffee,Chocolates,CaramelBites
11/3/2016,17:15:20,379,Tea,Chocolates,Cookies
11/3/2016,17:25:09,380,Coffee,Tea,Mineral water
11/3/2016,17:40:05,381,Juice,Chocolates,Coffee
11/3/2016,17:40:05,382,Cookies,Coffee,Coffee
11/3/2016,18:07:31,383,Hot chocolate,Chocolates,CaramelBites
11/3/2016,18:08:19,384,Coffee,Cake,Cookies
11/3/2016,18:51:13,385,Coffee,Cake,Hot chocolate
11/3/2016,19:00:19,386,Coffee,Coffee,Coffee
11/4/2016,8:34:28,387,Tea,Brownie,Cake
11/4/2016,8:45:42,388,Coffee,Cookies,Cookies
11/4/2016,8:53:11,389,Coffee,Tea,CaramelBites
11/4/2016,9:07:34,390,Coffee,Cookies,Hot chocolate
11/4/2016,9:07:34,391,Coffee,Hot chocolate,Cake
11/4/2016,9:08:17,392,Coffee,Hot chocolate,Hot chocolate
11/4/2016,9:09:54,393,Coffee,Hot chocolate,Mineral water
11/4/2016,9:09:54,394,Coffee,Cake,CaramelBites
11/4/2016,9:13:17,395,Hot chocolate,Mineral water,Coffee
11/4/2016,9:24:29,396,Coffee,Cake,Cake
11/4/2016,9:30:11,397,Coffee,Coffee,Cookies
11/4/2016,9:30:11,398,Coffee,Juice,Tea
11/4/2016,9:38:45,399,Tea,Mineral water,Tea
11/4/2016,9:40:56,400,Coffee,Juice,Coffee
11/4/2016,9:40:56,401,Coffee,Tea,Tea
11/4/2016,9:55:18,402,Brownie,Mineral water,Hot chocolate
11/4/2016,10:01:57,403,Coffee,Tea,Cookies
11/4/2016,10:10:37,404,Tea,Tea,Mineral water
11/4/2016,10:10:37,405,Coffee,Hot chocolate,Cake
11/4/2016,10:10:37,406,Cookies,Brownie,Mineral water
11/4/2016,10:14:10,407,Tea,Coffee,Cookies
11/4/2016,10:25:24,408,Brownie,Hot chocolate,CaramelBites
11/4/2016,10:35:23,409,Coffee,Cookies,Tea
11/4/2016,10:41:46,410,Coffee,Mineral water,Hot chocolate
11/4/2016,10:48:39,411,Tea,Cookies,Cake
11/4/2016,10:48:39,412,Tea,CaramelBites,Mineral water
11/4/2016,10:51:01,413,Tea,Cake,Hot chocolate
11/4/2016,10:54:43,414,Coffee,Hot chocolate,Juice
11/4/2016,10:54:43,415,Coffee,Coffee,Hot chocolate
11/4/2016,11:00:57,416,Coffee,Mineral water,Juice
11/4/2016,11:12:22,417,Coffee,Cake,Brownie
11/4/2016,11:12:22,418,Brownie,Brownie,Cookies
11/4/2016,11:13:28,419,Coffee,Cookies,Mineral water
11/4/2016,11:17:35,420,Coffee,Cake,Mineral water
11/4/2016,11:17:35,421,Brownie,Hot chocolate,Cookies
11/4/2016,11:25:41,422,Mineral water,Mineral water,Brownie
11/4/2016,11:25:41,423,Coffee,Chocolates,CaramelBites
11/4/2016,11:25:41,424,Coffee,Mineral water,Brownie
11/4/2016,11:33:11,425,Brownie,Mineral water,CaramelBites
11/4/2016,11:33:11,426,Coffee,Tea,Cake
11/4/2016,11:36:07,427,Brownie,CaramelBites,Brownie
11/4/2016,11:36:07,428,Juice,Coffee,Juice
11/4/2016,11:42:12,429,Coffee,Coffee,CaramelBites
11/4/2016,11:42:12,430,Coffee,Juice,Cookies
11/4/2016,11:42:12,431,Tea,Mineral water,CaramelBites
11/4/2016,12:17:15,432,Coffee,Hot chocolate,Tea
11/4/2016,12:45:42,433,Coffee,Cookies,CaramelBites
11/4/2016,12:45:42,434,Mineral water,Cookies,Hot chocolate
11/4/2016,12:51:54,435,Juice,Cake,Cake
11/4/2016,12:51:54,436,Mineral water,Chocolates,Tea
11/4/2016,12:56:51,437,Coffee,Cookies,Mineral water
11/4/2016,12:56:51,438,Coffee,Juice,Tea
11/4/2016,13:01:38,439,Coffee,Brownie,Brownie
11/4/2016,13:01:38,440,Mineral water,Brownie,Cake
11/4/2016,13:04:40,441,Coffee,Cookies,Coffee
11/4/2016,13:04:40,442,Brownie,Cookies,Hot chocolate
11/4/2016,13:15:24,443,Coffee,CaramelBites,Cake
11/4/2016,13:15:24,444,Brownie,Brownie,Cake
11/4/2016,13:39:44,445,Coffee,Chocolates,Brownie
11/4/2016,13:55:51,446,Coffee,Tea,Hot chocolate
11/4/2016,14:04:31,447,Coffee,CaramelBites,CaramelBites
11/4/2016,14:04:31,448,Hot chocolate,Hot chocolate,CaramelBites
11/4/2016,14:16:07,449,Coffee,Tea,Cake
11/4/2016,14:16:07,450,Coffee,Cookies,Chocolates
11/4/2016,14:17:39,451,Mineral water,Juice,Mineral water
11/4/2016,14:17:39,452,Brownie,Mineral water,Hot chocolate
11/4/2016,14:24:36,453,Coffee,Tea,Mineral water
11/4/2016,14:30:08,454,Coffee,Brownie,Cookies
